,code,company,old_price,new_price,returns
286,067770,세진티에스,3665,5000,36.4256480218281
287,053450,세코닉스,6100,8320,36.393442622950815
288,005850,에스엘,16350,22300,36.39143730886849
289,024950,삼천리자전거,9240,12600,36.36363636363635
290,333430,일승,2050,2790,36.09756097560977
291,000860,강남제비스코,18700,25450,36.09625668449199
292,096770,SK이노베이션,176000,239500,36.07954545454546
293,000910,유니온,6530,8880,35.98774885145482
294,059120,아진엑스텍,5420,7370,35.977859778597775
295,047040,대우건설,3980,5410,35.92964824120604
296,013360,일성건설,942,1280,35.88110403397027
297,024070,WISCOM,2510,3410,35.85657370517927
298,244880,나눔테크,2050,2780,35.60975609756098
299,083930,아바코,9450,12800,35.44973544973544
