,code,company,old_price,new_price,returns
227,023800,인지컨트롤스,16400,18300,11.585365853658548
215,115500,케이씨에스,8250,9200,11.515151515151523
94,011210,현대위아,80200,89300,11.34663341645885
172,240340,인터코스,899,999,11.123470522803114
81,023350,한국종합기술,7380,8200,11.111111111111116
225,101160,월덱스,22300,24650,10.538116591928247
70,189980,흥국에프엔비,3440,3800,10.465116279069765
50,256840,한국비엔씨,7310,8070,10.396716826265395
293,059120,아진엑스텍,7370,8130,10.312075983717772
105,017000,신원종합개발,7080,7810,10.310734463276837
149,217500,러셀,4600,5070,10.217391304347823
136,064760,티씨케이,160200,176100,9.925093632958792
68,083420,그린케미칼,11700,12850,9.829059829059839
259,093230,이아이디,513,562,9.551656920077978
8,171090,선익시스템,20200,22100,9.405940594059414
248,023000,삼원강재,3535,3850,8.910891089108919
65,034300,신세계건설,41550,45250,8.904933814681115
163,037070,파세코,19400,21100,8.762886597938135
183,000990,DB하이텍,51200,55600,8.59375
128,010240,흥국,8600,9320,8.372093023255811
137,080220,제주반도체,5660,6110,7.950530035335679
123,064290,인텍플러스,21450,23150,7.9254079254079235
63,274090,켄코아에어로스페이스,15150,16350,7.920792079207928
150,136490,선진,16000,17250,7.8125
140,123750,알톤스포츠,5540,5960,7.581227436823101
55,090360,로보스타,24700,26500,7.287449392712553
267,353200,대덕전자,14200,15200,7.042253521126751
162,066570,LG전자,143000,152500,6.643356643356646
82,272450,진에어,21350,22750,6.557377049180335
41,149950,아바텍,17050,18150,6.451612903225801
239,091120,이엠텍,17200,18300,6.3953488372092915
268,034220,LG디스플레이,22100,23500,6.334841628959276
92,077360,덕산하이메탈,12350,13100,6.072874493927127
219,047810,한국항공우주,33400,35350,5.838323353293418
260,036640,HRS,5840,6180,5.821917808219168
264,020150,일진머티리얼즈,63500,67000,5.5118110236220375
85,018500,동원금속,1205,1270,5.394190871369298
198,308100,까스텔바작,13300,14000,5.263157894736836
89,130740,티피씨글로벌,4500,4700,4.444444444444451
270,215360,우리산업,24900,26000,4.417670682730934
285,067770,세진티에스,5000,5190,3.8000000000000034
249,004360,세방,14300,14800,3.4965034965035002
199,129260,인터지스,4155,4300,3.4897713598074587
48,004560,현대비앤지스틸,19000,19600,3.157894736842115
138,011780,금호석유화학,216500,223000,3.002309468822162
246,009580,무림P&P,5220,5370,2.8735632183908066
126,319400,현대무벡스,5100,5240,2.7450980392156765
115,003160,디아이,6940,7130,2.737752161383278
237,192400,쿠쿠홀딩스,135000,138000,2.2222222222222143
201,121060,유니포인트,1820,1860,2.19780219780219
77,025440,대성엘텍,1220,1245,2.049180327868849
258,327970,케어룸의료산업,17700,18000,1.6949152542372836
125,028670,팬오션,6480,6560,1.2345679012345734
251,049070,인탑스,29550,29900,1.1844331641285955
255,122350,삼기,4045,4075,0.7416563658838138
157,016740,두올,5130,5160,0.5847953216374213
263,175140,인포마크,8960,9010,0.5580357142857206
