init start
company_info exists 
daily_price exists 
Not first trial
codes's size is [2449]
[2021-06-03 10:00] #0020 REPLACE INTO company_info VALUES (005320, 국동, 2021-06-03)
[2021-06-03 10:00] #0021 REPLACE INTO company_info VALUES (014530, 극동유화, 2021-06-03)
[2021-06-03 10:00] #0022 REPLACE INTO company_info VALUES (000270, 기아, 2021-06-03)
[2021-06-03 10:00] #0023 REPLACE INTO company_info VALUES (013700, 까뮤이앤씨, 2021-06-03)
[2021-06-03 10:00] #0024 REPLACE INTO company_info VALUES (353200, 대덕전자, 2021-06-03)
[2021-06-03 10:00] #0025 REPLACE INTO company_info VALUES (003090, 대웅, 2021-06-03)
[2021-06-03 10:00] #0026 REPLACE INTO company_info VALUES (145720, 덴티움, 2021-06-03)
[2021-06-03 10:00] #0027 REPLACE INTO company_info VALUES (042670, 두산인프라코어, 2021-06-03)
[2021-06-03 10:00] #0028 REPLACE INTO company_info VALUES (034020, 두산중공업, 2021-06-03)
[2021-06-03 10:00] #0029 REPLACE INTO company_info VALUES (026890, 디피씨, 2021-06-03)
[2021-06-03 10:00] #0030 REPLACE INTO company_info VALUES (115390, 락앤락, 2021-06-03)
[2021-06-03 10:00] #0031 REPLACE INTO company_info VALUES (286940, 롯데정보통신, 2021-06-03)
[2021-06-03 10:00] #0032 REPLACE INTO company_info VALUES (027740, 마니커, 2021-06-03)
[2021-06-03 10:00] #0033 REPLACE INTO company_info VALUES (008560, 메리츠증권, 2021-06-03)
[2021-06-03 10:00] #0034 REPLACE INTO company_info VALUES (017180, 명문제약, 2021-06-03)
[2021-06-03 10:00] #0035 REPLACE INTO company_info VALUES (204210, 모두투어리츠, 2021-06-03)
[2021-06-03 10:00] #0036 REPLACE INTO company_info VALUES (001270, 부국증권, 2021-06-03)
[2021-06-03 10:00] #0037 REPLACE INTO company_info VALUES (006400, 삼성SDI, 2021-06-03)
[2021-06-03 10:00] #0038 REPLACE INTO company_info VALUES (028050, 삼성엔지니어링, 2021-06-03)
[2021-06-03 10:00] #0039 REPLACE INTO company_info VALUES (068290, 삼성출판사, 2021-06-03)
[2021-06-03 10:00] #0040 REPLACE INTO company_info VALUES (000810, 삼성화재해상보험, 2021-06-03)
[2021-06-03 10:00] #0041 REPLACE INTO company_info VALUES (003720, 삼영화학공업, 2021-06-03)
[2021-06-03 10:00] #0042 REPLACE INTO company_info VALUES (010960, 삼호개발, 2021-06-03)
[2021-06-03 10:00] #0043 REPLACE INTO company_info VALUES (001290, 상상인증권, 2021-06-03)
[2021-06-03 10:00] #0044 REPLACE INTO company_info VALUES (136490, 선진, 2021-06-03)
[2021-06-03 10:00] #0045 REPLACE INTO company_info VALUES (002420, 세기상사, 2021-06-03)
[2021-06-03 10:00] #0046 REPLACE INTO company_info VALUES (004490, 세방전지, 2021-06-03)
[2021-06-03 10:00] #0047 REPLACE INTO company_info VALUES (003030, 세아제강지주, 2021-06-03)
[2021-06-03 10:00] #0048 REPLACE INTO company_info VALUES (293940, 신한알파리츠, 2021-06-03)
[2021-06-03 10:00] #0049 REPLACE INTO company_info VALUES (055550, 신한지주, 2021-06-03)
[2021-06-03 10:00] #0050 REPLACE INTO company_info VALUES (003620, 쌍용자동차, 2021-06-03)
[2021-06-03 10:00] #0051 REPLACE INTO company_info VALUES (015540, 쎌마테라퓨틱스, 2021-06-03)
[2021-06-03 10:00] #0052 REPLACE INTO company_info VALUES (012280, 영화금속, 2021-06-03)
[2021-06-03 10:00] #0053 REPLACE INTO company_info VALUES (007310, 오뚜기, 2021-06-03)
[2021-06-03 10:00] #0054 REPLACE INTO company_info VALUES (008600, 윌비스, 2021-06-03)
[2021-06-03 10:00] #0055 REPLACE INTO company_info VALUES (033270, 유나이티드, 2021-06-03)
[2021-06-03 10:00] #0056 REPLACE INTO company_info VALUES (084680, 이월드, 2021-06-03)
[2021-06-03 10:00] #0057 REPLACE INTO company_info VALUES (023800, 인지컨트롤스, 2021-06-03)
[2021-06-03 10:00] #0058 REPLACE INTO company_info VALUES (129260, 인터지스, 2021-06-03)
[2021-06-03 10:00] #0059 REPLACE INTO company_info VALUES (013360, 일성건설, 2021-06-03)
[2021-06-03 10:00] #0060 REPLACE INTO company_info VALUES (081000, 일진다이아, 2021-06-03)
[2021-06-03 10:00] #0061 REPLACE INTO company_info VALUES (033240, 자화전자, 2021-06-03)
[2021-06-03 10:00] #0062 REPLACE INTO company_info VALUES (271980, 제일약품, 2021-06-03)
[2021-06-03 10:00] #0063 REPLACE INTO company_info VALUES (002620, 제일파마홀딩스, 2021-06-03)
